temperature,biomass,rainfall,sediments,grain_size
24.76,26.3,37.23,26,0.236
24.98,44.9,21.25,15,0.063
25.53,38.2,39.01,23,0.189
26.19,25.8,25.13,25,0.185
26.37,20.3,19.59,29,0.141
26.43,68.5,11.99,46,0.031
26.43,42.4,17.3,16,0.198
26.48,22.8,17.84,18,0.114
26.51,25,16.37,65,0.1
26.63,68.5,30.34,37,0.025
26.88,80,54.84,14,0.045
27.39,72.7,30.58,9,0.063
27.42,76.7,18.37,18,0.018
27.51,78.8,7.56,18,0.02
27.51,31.2,15.97,21,0.224
27.55,75.3,18.05,16,0.029
27.6,72.3,3.25,24,0.024
27.61,82.4,3.27,14,0.046
27.8,77.7,18.3,17,0.026
27.81,70.7,9.12,23,0.02
28.98,65.5,6.64,11,0.037
29.42,34.3,11.7,24,0.191
29.66,49,5.34,7,0.073
29.95,63.4,9.42,12,0.047
30,52.3,8,30,0.058
30,43.6,6.6,33,0.065
30,42.9,8.5,37,0.104
30,48.3,8.4,28,0.05
30,35.3,6.1,31,0.052
30,43.3,7.82,30,0.067
30,66.1,6.94,16,0.068
30,67.4,7.8,46,0.021
30,65.9,10.7,33,0.049
30,70.4,11.13,30,0.034
30,70.5,13.57,24,0.04
30,72.8,21.6,25,0.043
30,72.1,17.6,32,0.024
30,22.4,14.24,23,0.242
30.16,32.9,13.25,11,0.094
30.17,22.5,10.17,19,0.323
30.18,27.7,9.64,9,0.125
30.2,25.4,18.33,20,0.272
30.22,38.8,9.31,14,0.046
30.27,36.3,18.66,11,0.221
30.28,25.2,9.32,11,0.313
30.31,45.2,9.67,10,0.069
30.39,51.5,16.84,7,0.048
30.45,41.3,21.2,33,0.031
30.47,38.7,3.07,13,0.214
30.54,22.5,16.09,30,0.094
30.56,19.7,10.88,25,0.183
30.62,21.4,10.72,40,0.103
30.66,22.4,10.45,19,0.091
30.69,48.2,13.72,19,0.034
30.72,21.4,11.66,9,0.769
30.76,48.6,15.73,14,0.152
30.81,21.3,11.87,33,0.443
30.83,43.8,9.94,6,0.083
30.87,46.5,6.97,14,0.026
30.89,19.6,10.13,15,0.295
30.89,16.5,15.49,34,0.196
30.89,19.8,11.89,38,0.517
30.94,22.3,16.64,15,0.3
31,34.5,8.68,34,0.062
31.02,57.2,11.11,12,0.036
31.06,22.3,22.99,10,0.196
31.06,20.7,15.09,31,0.104
31.15,29.2,8.18,15,0.037
31.17,20.1,15.93,15,0.425
31.23,39.8,11.33,29,0.06
31.27,39.6,10.99,6,0.044
31.32,22.3,10.59,14,0.431
31.32,25.8,18.8,17,0.297
31.37,21.4,18,19,0.29
31.47,21.9,12.53,22,0.167
31.48,21.2,9.15,50,0.128
31.72,23.6,10.26,13,0.308
31.75,18.8,8.36,21,0.317
32.81,39.1,28.65,10,0.128
